RF1CHAR,RF2CHAR,CorrelationNMBR
RF_EQ_EU,RF_EQ_EU,1
RF_EQ_NA,RF_EQ_EU,0.7609765843
RF_FX_EURUSD,RF_EQ_EU,0.1996429397
RF_EQ_EM,RF_EQ_EU,0.7342554061
RF_EQ_AP,RF_EQ_EU,0.7016637588
RF_ALT_BTC,RF_EQ_EU,0.0328702983
RF_COM_GOLD,RF_EQ_EU,0.0011895116
RF_RE_DM,RF_EQ_EU,0.5660457867
RF_COM_SILVER,RF_EQ_EU,0.1886690331
RF_IR_USD_1Y,RF_EQ_EU,0.0165748091
RF_IR_USD_5Y,RF_EQ_EU,0.1636853944
RF_IR_USD_10Y,RF_EQ_EU,0.1213601898
RF_IR_USD_30Y,RF_EQ_EU,0.0893888689
RF_IR_EUR_1Y,RF_EQ_EU,0.1921758083
RF_IR_EUR_5Y,RF_EQ_EU,0.1087099458
RF_IR_EUR_10Y,RF_EQ_EU,0.168674704
RF_IR_EUR_20Y,RF_EQ_EU,0.180359188
RF_EQ_NA,RF_EQ_NA,1
RF_FX_EURUSD,RF_EQ_NA,-0.036333864
RF_EQ_EM,RF_EQ_NA,0.6480970329
RF_EQ_AP,RF_EQ_NA,0.5944496728
RF_ALT_BTC,RF_EQ_NA,0.0574509408
RF_COM_GOLD,RF_EQ_NA,-0.1477771817
RF_RE_DM,RF_EQ_NA,0.5518122104
RF_COM_SILVER,RF_EQ_NA,0.0481825158
RF_IR_USD_1Y,RF_EQ_NA,0.0121127861
RF_IR_USD_5Y,RF_EQ_NA,0.2076851316
RF_IR_USD_10Y,RF_EQ_NA,0.1725744217
RF_IR_USD_30Y,RF_EQ_NA,0.140299227
RF_IR_EUR_1Y,RF_EQ_NA,0.0997617471
RF_IR_EUR_5Y,RF_EQ_NA,0.0759044903
RF_IR_EUR_10Y,RF_EQ_NA,0.1061693622
RF_IR_EUR_20Y,RF_EQ_NA,0.1276751272
RF_FX_EURUSD,RF_FX_EURUSD,1
RF_EQ_EM,RF_FX_EURUSD,0.1189170697
RF_EQ_AP,RF_FX_EURUSD,-0.0058352688
RF_ALT_BTC,RF_FX_EURUSD,0.0516384508
RF_COM_GOLD,RF_FX_EURUSD,0.3361754468
RF_RE_DM,RF_FX_EURUSD,0.0816134004
RF_COM_SILVER,RF_FX_EURUSD,0.2977271589
RF_IR_USD_1Y,RF_FX_EURUSD,-0.0340246621
RF_IR_USD_5Y,RF_FX_EURUSD,-0.1794932939
RF_IR_USD_10Y,RF_FX_EURUSD,-0.1382661027
RF_IR_USD_30Y,RF_FX_EURUSD,-0.1013429987
RF_IR_EUR_1Y,RF_FX_EURUSD,0.2803788387
RF_IR_EUR_5Y,RF_FX_EURUSD,0.2434831624
RF_IR_EUR_10Y,RF_FX_EURUSD,0.1653416122
RF_IR_EUR_20Y,RF_FX_EURUSD,0.0821366412
RF_EQ_EM,RF_EQ_EM,1
RF_EQ_AP,RF_EQ_EM,0.7275714075
RF_ALT_BTC,RF_EQ_EM,-0.0269456045
RF_COM_GOLD,RF_EQ_EM,0.0986235503
RF_RE_DM,RF_EQ_EM,0.5571338612
RF_COM_SILVER,RF_EQ_EM,0.2354395684
RF_IR_USD_1Y,RF_EQ_EM,-0.0334463005
RF_IR_USD_5Y,RF_EQ_EM,0.0583038543
RF_IR_USD_10Y,RF_EQ_EM,0.0579761514
RF_IR_USD_30Y,RF_EQ_EM,0.0512758555
RF_IR_EUR_1Y,RF_EQ_EM,0.0656620728
RF_IR_EUR_5Y,RF_EQ_EM,-0.0099882847
RF_IR_EUR_10Y,RF_EQ_EM,0.012845324
RF_IR_EUR_20Y,RF_EQ_EM,0.0699407718
RF_EQ_AP,RF_EQ_AP,1
RF_ALT_BTC,RF_EQ_AP,0.0390768345
RF_COM_GOLD,RF_EQ_AP,0.0308279662
RF_RE_DM,RF_EQ_AP,0.5517788202
RF_COM_SILVER,RF_EQ_AP,0.1728588278
RF_IR_USD_1Y,RF_EQ_AP,0.1096154353
RF_IR_USD_5Y,RF_EQ_AP,0.2159217517
RF_IR_USD_10Y,RF_EQ_AP,0.156048709
RF_IR_USD_30Y,RF_EQ_AP,0.1083077826
RF_IR_EUR_1Y,RF_EQ_AP,0.0198420625
RF_IR_EUR_5Y,RF_EQ_AP,-0.0420301736
RF_IR_EUR_10Y,RF_EQ_AP,-0.00026419
RF_IR_EUR_20Y,RF_EQ_AP,0.0811334732
RF_ALT_BTC,RF_ALT_BTC,1
RF_COM_GOLD,RF_ALT_BTC,-0.0392687634
RF_RE_DM,RF_ALT_BTC,-0.0594367885
RF_COM_SILVER,RF_ALT_BTC,-0.0086413257
RF_IR_USD_1Y,RF_ALT_BTC,0.1026657927
RF_IR_USD_5Y,RF_ALT_BTC,0.0261176241
RF_IR_USD_10Y,RF_ALT_BTC,0.0294635026
RF_IR_USD_30Y,RF_ALT_BTC,0.027394281
RF_IR_EUR_1Y,RF_ALT_BTC,-0.0751132441
RF_IR_EUR_5Y,RF_ALT_BTC,-0.0480505992
RF_IR_EUR_10Y,RF_ALT_BTC,0.0077299846
RF_IR_EUR_20Y,RF_ALT_BTC,-0.0167864325
RF_COM_GOLD,RF_COM_GOLD,1
RF_RE_DM,RF_COM_GOLD,0.2570106352
RF_COM_SILVER,RF_COM_GOLD,0.7501875574
RF_IR_USD_1Y,RF_COM_GOLD,-0.2666251181
RF_IR_USD_5Y,RF_COM_GOLD,-0.3841057236
RF_IR_USD_10Y,RF_COM_GOLD,-0.357683071
RF_IR_USD_30Y,RF_COM_GOLD,-0.2903770626
RF_IR_EUR_1Y,RF_COM_GOLD,-0.0562713015
RF_IR_EUR_5Y,RF_COM_GOLD,-0.1668301957
RF_IR_EUR_10Y,RF_COM_GOLD,-0.1911973711
RF_IR_EUR_20Y,RF_COM_GOLD,-0.1985004259
RF_RE_DM,RF_RE_DM,1
RF_COM_SILVER,RF_RE_DM,0.36375351
RF_IR_USD_1Y,RF_RE_DM,-0.1726067649
RF_IR_USD_5Y,RF_RE_DM,-0.2326613946
RF_IR_USD_10Y,RF_RE_DM,-0.2888117542
RF_IR_USD_30Y,RF_RE_DM,-0.3064747953
RF_IR_EUR_1Y,RF_RE_DM,-0.0995578839
RF_IR_EUR_5Y,RF_RE_DM,-0.320209394
RF_IR_EUR_10Y,RF_RE_DM,-0.2946188068
RF_IR_EUR_20Y,RF_RE_DM,-0.2507884406
RF_COM_SILVER,RF_COM_SILVER,1
RF_IR_USD_1Y,RF_COM_SILVER,-0.2569297486
RF_IR_USD_5Y,RF_COM_SILVER,-0.2924484145
RF_IR_USD_10Y,RF_COM_SILVER,-0.2920465594
RF_IR_USD_30Y,RF_COM_SILVER,-0.2587042618
RF_IR_EUR_1Y,RF_COM_SILVER,-0.0254591478
RF_IR_EUR_5Y,RF_COM_SILVER,-0.1004559507
RF_IR_EUR_10Y,RF_COM_SILVER,-0.0935302194
RF_IR_EUR_20Y,RF_COM_SILVER,-0.1074232451
RF_IR_USD_1Y,RF_IR_USD_1Y,1
RF_IR_USD_5Y,RF_IR_USD_1Y,0.5747301431
RF_IR_USD_10Y,RF_IR_USD_1Y,0.4899971518
RF_IR_USD_30Y,RF_IR_USD_1Y,0.3965444869
RF_IR_EUR_1Y,RF_IR_USD_1Y,0.0676082808
RF_IR_EUR_5Y,RF_IR_USD_1Y,0.1943243468
RF_IR_EUR_10Y,RF_IR_USD_1Y,0.2063129512
RF_IR_EUR_20Y,RF_IR_USD_1Y,0.2052871541
RF_IR_USD_5Y,RF_IR_USD_5Y,1
RF_IR_USD_10Y,RF_IR_USD_5Y,0.9317557192
RF_IR_USD_30Y,RF_IR_USD_5Y,0.7905838596
RF_IR_EUR_1Y,RF_IR_USD_5Y,0.1419182776
RF_IR_EUR_5Y,RF_IR_USD_5Y,0.4607292207
RF_IR_EUR_10Y,RF_IR_USD_5Y,0.4606125707
RF_IR_EUR_20Y,RF_IR_USD_5Y,0.4502998009
RF_IR_USD_10Y,RF_IR_USD_10Y,1
RF_IR_USD_30Y,RF_IR_USD_10Y,0.9387216428
RF_IR_EUR_1Y,RF_IR_USD_10Y,0.1333353614
RF_IR_EUR_5Y,RF_IR_USD_10Y,0.5624991025
RF_IR_EUR_10Y,RF_IR_USD_10Y,0.5705130748
RF_IR_EUR_20Y,RF_IR_USD_10Y,0.5241494628
RF_IR_USD_30Y,RF_IR_USD_30Y,1
RF_IR_EUR_1Y,RF_IR_USD_30Y,0.0875307503
RF_IR_EUR_5Y,RF_IR_USD_30Y,0.554569798
RF_IR_EUR_10Y,RF_IR_USD_30Y,0.6054488544
RF_IR_EUR_20Y,RF_IR_USD_30Y,0.5629916085
RF_IR_EUR_1Y,RF_IR_EUR_1Y,1
RF_IR_EUR_5Y,RF_IR_EUR_1Y,0.483802034
RF_IR_EUR_10Y,RF_IR_EUR_1Y,0.2989204182
RF_IR_EUR_20Y,RF_IR_EUR_1Y,0.2513696788
RF_IR_EUR_5Y,RF_IR_EUR_5Y,1
RF_IR_EUR_10Y,RF_IR_EUR_5Y,0.858599963
RF_IR_EUR_20Y,RF_IR_EUR_5Y,0.702028826
RF_IR_EUR_10Y,RF_IR_EUR_10Y,1
RF_IR_EUR_20Y,RF_IR_EUR_10Y,0.8931460057
RF_IR_EUR_20Y,RF_IR_EUR_20Y,1
